source_file,benchmark,baseline,metric,direction,adare_n,adare_mean,adare_std,adare_median,adare_iqr,baseline_mean,baseline_std,baseline_median,baseline_iqr,gain_percent,paired_improvement_mean,paired_improvement_ci95_low,paired_improvement_ci95_high,wilcoxon_one_sided_p,holm_p,rank_biserial_paired
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,igd,min,20,0.03384186118982302,0.003087301094184825,0.03413419952546277,0.0036210576564807,0.035432452929387945,0.00276148271422451,0.03523007593427996,0.0038108831697731688,4.489081641439722,0.001590591739564937,-0.000376921635032891,0.0033369285942530954,0.026584625244140625,0.7975387573242188,0.49523809523809526
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,latency_best,min,20,858848.9189932797,16650.136761949427,860571.7577452449,8395.00469359965,864252.8729250196,16845.80323238199,858614.3700180589,10750.655975531554,0.6252746274884222,5403.953931740101,-5438.078580618245,17109.807834551622,0.23745250701904297,1.0,0.19047619047619047
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,makespan_best,min,20,261774.11549307258,105.5620649394197,261770.36720326924,154.6950776584854,261753.32177673263,111.69815191559344,261702.04541628755,152.3227623392304,-0.007944012400226123,-20.793716339995445,-75.81467763902837,35.65161560552074,0.815861701965332,1.0,-0.22857142857142856
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,spacing,min,20,0.06173150698803931,0.009058121879499136,0.06309854414637087,0.011699919013860832,0.06290902752733987,0.007807619666929915,0.06264644105509756,0.009919891769678932,1.8717830899370058,0.00117752053930056,-0.005073035164133087,0.007433550229462291,0.35059070587158203,1.0,0.10476190476190476
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,time,min,20,4.597986299998593,0.10866288699588562,4.577835699979914,0.047320475001470186,4.411957735006581,0.09096782634443504,4.393682350026211,0.09427119992324151,-4.2164629891164225,-0.18602856499201154,-0.21193075375129408,-0.1565587028509617,0.9999990463256836,1.0,-0.9904761904761905
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_pairwise_metrics.csv,Montage_25,Contextual-UCB,cost_best,min,20,741.497629076923,268.8525930030632,696.3649376923076,391.4447369230769,652.9704734615383,269.393311486484,601.9761092307692,264.4766523076923,-13.557604702412194,-88.52715561538461,-239.8750914999999,71.9930721365384,0.8847436904907227,1.0,-0.3047619047619048
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_pairwise_metrics.csv,Montage_25,Contextual-UCB,coverage,max,20,0.07754872693991911,0.041190776864510954,0.06779877425944841,0.04285558191808192,0.057410336111065705,0.02736503591670513,0.062378546443839875,0.03122049250223581,35.07798802970565,0.0201383908288534,-0.0019278264687882286,0.04419843592021693,0.10808372497558594,1.0,0.3238095238095238
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_pairwise_metrics.csv,Montage_25,Contextual-UCB,energy_best,min,20,9476157.370769233,134796.95601946558,9467645.923076924,142802.30769230798,9506639.456576925,127369.83069899044,9506844.384615384,168981.92307692207,0.32063996901243597,30482.08580769263,-47223.25039326849,102675.01758750057,0.20454883575439453,1.0,0.21904761904761905
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_pairwise_metrics.csv,Montage_25,Contextual-UCB,epsilon,min,20,0.11104438687884403,0.02348544906280305,0.1118423295397136,0.03412832279029203,0.10910656881241812,0.018023369128772393,0.10628751409725057,0.017059785869224395,-1.776078276054593,-0.001937818066425897,-0.012879977691514246,0.008752680677502303,0.5795888900756836,1.0,-0.047619047619047616
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_pairwise_metrics.csv,Montage_25,Contextual-UCB,hv,max,20,0.905288767485894,0.01755377897365035,0.9053778226999217,0.022800437303894694,0.9057830574574144,0.018214431875635564,0.90978210266999,0.021902270058794304,-0.05457045894718388,-0.000494289971520362,-0.011715788176678605,0.0105712809023275,0.5652561187744141,1.0,-0.0380952380952381
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_pairwise_metrics.csv,Montage_25,Contextual-UCB,igd,min,20,0.06082120479642661,0.0034772674137910947,0.0601061256807337,0.0044427654568841846,0.06046437450291947,0.003267030813559639,0.059322556776602725,0.004912953086862161,-0.5901496483518711,-0.0003568302935071377,-0.001764469791003325,0.0009572353651932369,0.7270622253417969,1.0,-0.1523809523809524
controller_ablation_r20_g70\Montage\reports\Montage_25_extended_pairwise_metrics.csv,Montage_25,Contextual-UCB,latency_best,min,20,12627.521158726415,242.5555708526069,12637.229874544775,308.638482994289,12491.79703257317,245.4880643815998,12531.539633476565,346.7630901412249,-1.086506015102038,-135.724126153246,-284.5240385760974,16.415181539917274,0.9513463973999023,1.0,-0.41904761904761906
