source_file,benchmark,context,operator,uses,mean_reward
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:moving,two_point,2483,0.03576602212794065
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:moving,uniform_0_5,2123,0.011704482287784472
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:moving,uniform_0_8,2509,0.029629451160660042
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:stagnant,one_point,2626,0.04213969944491698
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:stagnant,two_point,2551,0.03463353342908548
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:stagnant,uniform_0_5,2173,0.010817981710953013
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:stagnant,uniform_0_8,2444,0.02978879824048061
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,one_point,3801,0.07492803786257847
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,two_point,3896,0.07341278019971939
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,uniform_0_5,3472,0.061650136843446265
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,uniform_0_8,3850,0.07704531279504015
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,one_point,1406,0.058082980851095894
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,two_point,1355,0.053137301213439375
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,uniform_0_5,1257,0.04290262858665714
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,uniform_0_8,1381,0.0595170521710658
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,one_point,1153,0.05254825515400426
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,two_point,1140,0.05234140274766189
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,uniform_0_5,1028,0.03332079165547773
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,uniform_0_8,1116,0.05162978355993343
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,one_point,3992,0.05369395095499059
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,two_point,3846,0.05149697290305869
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,uniform_0_5,3392,0.036729269961997414
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,uniform_0_8,3921,0.054300743330893
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,one_point,1977,0.0529966562242159
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,two_point,2150,0.053919221776359674
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,uniform_0_5,2007,0.03917271673372157
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,uniform_0_8,2097,0.05251643372562684
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,one_point,2817,0.055348313704398966
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,two_point,3028,0.055608019812518984
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,uniform_0_5,2655,0.04263938477484543
ablation_v1_v5_r20\V4\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,uniform_0_8,2884,0.05501945812005383
ablation_v1_v5_r20\V4\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,one_point,4575,0.08838316442608331
ablation_v1_v5_r20\V4\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,two_point,4826,0.09255822859323193
ablation_v1_v5_r20\V4\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,uniform_0_5,3694,0.0626356416596773
ablation_v1_v5_r20\V4\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,uniform_0_8,4030,0.07869817745256392
