source_file,benchmark,algorithm,n,mean_objective_evaluations,std_objective_evaluations,median_objective_evaluations
quick_ablation\V4\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,NSGA-III,1,5999.0,0.0,5999.0
quick_ablation\V4\Montage\reports\Montage_25_run_metrics.csv,Montage_25,ADARE,1,6142.0,0.0,6142.0
quick_ablation\V4\Montage\reports\Montage_25_run_metrics.csv,Montage_25,NSGA-III,1,5822.0,0.0,5822.0
quick_ablation\V5\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,ADARE,1,6081.0,0.0,6081.0
quick_ablation\V5\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,NSGA-III,1,6002.0,0.0,6002.0
quick_ablation\V5\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,ADARE,1,6155.0,0.0,6155.0
quick_ablation\V5\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,NSGA-III,1,5999.0,0.0,5999.0
quick_ablation\V5\Montage\reports\Montage_25_run_metrics.csv,Montage_25,ADARE,1,6018.0,0.0,6018.0
quick_ablation\V5\Montage\reports\Montage_25_run_metrics.csv,Montage_25,NSGA-III,1,5822.0,0.0,5822.0
quick_adare_trace\Montage\reports\Montage_25_adare_only_run_metrics.csv,Montage_25,ADARE,1,310.0,0.0,310.0
quick_controller_ablation\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,ADARE,1,136.0,0.0,136.0
quick_controller_ablation\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,Contextual-UCB,1,130.0,0.0,130.0
quick_controller_ablation\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,Global-UCB,1,139.0,0.0,139.0
quick_controller_ablation\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,Static,1,138.0,0.0,138.0
quick_extended\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,ADARE,1,136.0,0.0,136.0
quick_extended\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,NSGA-III,1,127.0,0.0,127.0
quick_extended\Montage\reports\Montage_25_extended_run_metrics.csv,Montage_25,QL-NSGA-III,1,126.0,0.0,126.0
reward_sensitivity_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,ADARE,20,6096.55,50.998942197492276,6101.5
reward_sensitivity_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,Dominance-heavy,20,6085.0,29.463626103348087,6085.0
reward_sensitivity_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,Equal-weights,20,6089.0,36.97509830597942,6080.5
reward_sensitivity_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,High-alpha,20,6100.35,51.111101894227495,6093.0
reward_sensitivity_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,Improvement-heavy,20,6103.2,43.730755165768876,6118.5
reward_sensitivity_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,Low-alpha,20,6100.15,48.80711229448344,6103.0
reward_sensitivity_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,No-clipping,20,6096.55,50.998942197492276,6101.5
reward_sensitivity_r20_g70\CyberShake\reports\CyberShake_30_extended_run_metrics.csv,CyberShake_30,Tight-clipping,20,6098.2,53.93036445756987,6087.0
reward_sensitivity_r20_g70\Epigenomics\reports\Epigenomics_24_extended_run_metrics.csv,Epigenomics_24,ADARE,20,6098.9,34.15583482556939,6091.5
