benchmark,algorithm,source_run,point,makespan,latency,cost,energy
CyberShake_30,NSGA-III,2,55,20525.862870769226,109099.15114491284,17126.63847692308,32743039.653846152
CyberShake_30,NSGA-III,2,56,20705.818481445316,136820.64986413164,7158.876903076924,37384190.646153845
CyberShake_30,NSGA-III,2,57,20927.23813289663,76896.9013266286,15021.967707692309,33674835.61538461
CyberShake_30,NSGA-III,2,58,21538.60282714844,112490.44446451025,6119.212707692308,37917143.115384616
CyberShake_30,NSGA-III,2,59,21551.346405201322,134166.74380126805,9819.08421076923,36145172.76153846
CyberShake_30,NSGA-III,2,60,21653.35282714844,123612.52712433296,8753.111169230771,36596962.538461536
CyberShake_30,NSGA-III,2,61,22387.598603515624,114520.21349610276,6090.0034415384625,37919436.223076925
CyberShake_30,NSGA-III,2,62,22416.263580006005,89237.44648267125,12842.754210769232,34788737.76153846
CyberShake_30,NSGA-III,2,63,22451.348603515624,123087.22790910456,3329.858056923077,39196155.453846164
CyberShake_30,NSGA-III,2,64,22533.86134765625,91403.30104553187,6006.6954,37911753.50000001
CyberShake_30,NSGA-III,2,65,22893.855595249395,85496.42771023439,7834.514400000002,40698156.46999999
CyberShake_30,NSGA-III,2,66,23260.15603969351,140547.77133610877,12950.013092307698,34674958.88461538
CyberShake_30,NSGA-III,2,67,23293.249799804686,92272.62288975963,8562.522323076922,36734927.34615384
CyberShake_30,NSGA-III,2,68,24285.604019906852,154618.38835475658,5686.083441538462,38065438.72307692
CyberShake_30,NSGA-III,2,69,24602.022372671276,91366.91564881013,7128.658246153847,40991449.16230769
CyberShake_30,NSGA-III,2,70,24990.983188476563,92593.81395112081,8030.311938461537,36950591.57692307
CyberShake_30,NSGA-III,2,71,25077.798948710933,86266.567623128,10239.947287692308,35938833.915384606
CyberShake_30,NSGA-III,2,72,25077.798948710933,86647.29277429388,5823.331133846154,38001954.10769231
CyberShake_30,NSGA-III,2,73,28693.309018554686,84052.36336024039,6661.178861538461,37678120.42307692
CyberShake_30,NSGA-II,5,1,10806.649,56211.89688247295,21546.60655384615,42763963.307692304
CyberShake_30,NSGA-II,5,2,10937.24108653846,54953.73027119591,23979.19324615385,48457376.662307695
CyberShake_30,NSGA-II,5,3,10938.452625,54930.19180965745,24014.814784615384,48440899.739230774
CyberShake_30,NSGA-II,5,4,10971.403211538462,51941.01455996394,22077.520015384616,46186602.73076924
CyberShake_30,NSGA-II,5,5,11504.298056265023,55523.03256561598,18723.49116923077,42522652.53846153
CyberShake_30,NSGA-II,5,6,11506.331745384616,55464.867703810094,21411.34693846154,44767654.07692309
CyberShake_30,NSGA-II,5,7,11662.407665940504,54686.93980696515,21954.076133846156,45655441.6076923
CyberShake_30,NSGA-II,5,8,11962.20267,63778.4136261298,21997.165015384617,41827745.23076923
CyberShake_30,NSGA-II,5,9,12160.445047692307,67947.23227283053,18423.0654,41541183.50000001
CyberShake_30,NSGA-II,5,10,12278.08673009315,55481.99225549578,18208.753826153843,46062814.49230769
CyberShake_30,NSGA-II,5,11,12557.462989257814,60258.234929438106,19070.37886153846,42230725.42307693
CyberShake_30,NSGA-II,5,12,12598.150489257814,61456.77861463942,20570.031553846155,42208325.807692304
CyberShake_30,NSGA-II,5,13,12653.828795898438,57465.136953272224,18670.876133846155,43836586.6076923
CyberShake_30,NSGA-II,5,14,12661.09279695012,76871.09418226861,16934.62209230769,41013661.85461538
CyberShake_30,NSGA-II,5,15,12699.400489257814,59312.75159223257,17795.51132307692,44577575.31615385
CyberShake_30,NSGA-II,5,16,12909.73520076923,63237.54180056191,20248.75578461538,41358999.269230776
CyberShake_30,NSGA-II,5,17,13143.8189453125,64985.471427013224,18156.938630769226,44341742.43153846
CyberShake_30,NSGA-II,5,18,13199.3189453125,68743.2811827524,18124.748630769227,44323427.43153846
CyberShake_30,NSGA-II,5,19,13383.60200923077,51747.88786106972,20741.68498,44877284.3
CyberShake_30,NSGA-II,5,20,13383.60200923077,59043.88519740084,17288.31344153846,42910543.72307692
CyberShake_30,NSGA-II,5,21,13624.756437692307,66263.74030623797,21006.14386153846,39482597.92307692
CyberShake_30,NSGA-II,5,22,13624.756437692307,73184.53367889725,19737.100015384614,40000947.73076924
CyberShake_30,NSGA-II,5,23,13888.626393846154,72498.92656929386,17497.87693846154,42347846.57692308
