benchmark,algorithm,run,generation,makespan_best,latency_best,cost_best,energy_best
CyberShake_30,MOEA/D,2,0,11710.069415384614,60203.67135307392,10309.757861538463,34313889.10769231
CyberShake_30,MOEA/D,2,1,13348.921547692307,65199.452291571506,10309.757861538463,34313889.10769231
CyberShake_30,MOEA/D,2,2,13348.921547692307,60027.701115348544,10309.757861538463,32858878.307692304
CyberShake_30,MOEA/D,2,3,13348.921547692307,71301.34195127104,11915.653246153848,32306868.499999996
CyberShake_30,MOEA/D,2,4,13348.921547692307,68529.94472639423,11915.653246153848,31843249.076923076
CyberShake_30,MOEA/D,2,5,14371.878458461539,62923.31564010516,11454.954784615387,31351627.538461536
CyberShake_30,MOEA/D,2,6,15023.25641153846,63257.5754663732,11454.954784615387,31351627.538461536
CyberShake_30,MOEA/D,2,7,15593.56963788762,63257.5754663732,10620.844246153847,31351359.269230768
CyberShake_30,MOEA/D,2,8,15593.56963788762,63257.5754663732,10620.844246153847,31299278.69230769
CyberShake_30,MOEA/D,2,9,15593.56963788762,63257.5754663732,10620.844246153847,31299278.69230769
CyberShake_30,MOEA/D,2,10,15580.81963788762,63257.5754663732,10620.844246153847,31261411.19230769
CyberShake_30,MOEA/D,2,11,15580.81963788762,63257.5754663732,10620.844246153847,31261411.19230769
CyberShake_30,MOEA/D,2,12,15580.81963788762,63257.5754663732,10620.844246153847,31254406.769230764
CyberShake_30,MOEA/D,2,13,15580.81963788762,63257.5754663732,10607.745784615385,31222699.076923072
CyberShake_30,MOEA/D,2,14,15580.81963788762,63257.5754663732,10607.745784615385,30885228.499999993
CyberShake_30,MOEA/D,2,15,15580.81963788762,63257.5754663732,10607.745784615385,30844676.57692307
CyberShake_30,MOEA/D,3,0,11463.181383076922,56482.92773734375,8327.449246153848,35695995.038461536
CyberShake_30,MOEA/D,3,1,13868.265575411659,61783.27648508713,9982.289400000003,34384887.15384615
